Tahun;CH_Jan;CH_Feb;CH_Mar;CH_Apr;CH_May;CH_Jun;CH_Jul;CH_Aug;CH_Sep;CH_Oct;CH_Nov;CH_Dec;;;
2014;163;624;315;406;241;199;344;250;34;94;548;459;;;
2015;330;413;383;249;148;178;345;250;113;64;625;434;;;
2016;317;582;553;461;245;202;253;85;378;389;310;142;;;
2017;290;689;286;401;239;131;89;49;34;387;421;321;;;
2018;333;685;432;291;142;152;9;21;162;130;382;235;;;
2019;408;452;202;463;167;62;35;19;6;180;144;321;;;
2020;421;537;512;328;420;95;72;38;258;312;192;320;;;
2021;384;728;254;358;115;258;69;166;188;327;344;446;;;
2022;113;304;239;477;218;348;143;247;248;489;283;429;;;
2023;159;569;294;180;294;50;50;7;9;79;343;179;;;
2024;383;547;528;383;184;163;60;55;267;59;478;456;;;